Donation ID,Date,Donor Name,Email,Amount,Validation_Tier,Issues,Suggested_Modifications,Operator_Decision,Operator_Notes
GB501,6/7/2026,Sam Lee,sam@gnail.com,"1,500",WARNING,Email: Email typo detected; Phone: Phone number not found; Amount: High-dollar donation (>= $1000),Consider: sam@gmail.com; Add phone numbers to your donations export,approved,
GB502,2026-06-07,Taylor Kim,taylor@gmail.co,2500.999,WARNING,Phone: Phone number not found; Amount: High-dollar donation (>= $1000),Add phone numbers to your donations export,followup,
GB503,2026-06-08,Riley Park,riley@gmail.con,-0.01,FAIL,Phone: Phone number not found; Amount: Amount must be greater than 0,Add phone numbers to your donations export,rejected,
GB504,2026-06-08,Morgan Yu,morgan@outlok.com,1000000000,WARNING,Email: Email typo detected; Phone: Phone number not found; Amount: Amount above typical range ($100000),Consider: morgan@outlook.com; Add phone numbers to your donations export,approved,That's a lot of money
GB505,2026-06-09,Casey Wu,casey@gmail.com.,,FAIL,Phone: Phone number not found; Amount: Missing amount,Add phone numbers to your donations export,followup,
GB506,2026-06-09,Jordan Li,jordan@gmail..com,75,WARNING,Phone: Phone number not found,Add phone numbers to your donations export,rejected,
GB507,2026-06-10,Avery Ng,avery@GMAIL.COM ,$ 2 000,FAIL,Phone: Phone number not found; Amount: Invalid amount format,Add phone numbers to your donations export,approved,
GB508,2026-06-10,Pat Quinn,pat@ymail.com,1500,WARNING,Phone: Phone number not found; Amount: High-dollar donation (>= $1000),Add phone numbers to your donations export,followup,
GB509,2026-06-11,Lee Chen,lee@googlemail.com,1250.5,WARNING,Phone: Phone number not found; Amount: High-dollar donation (>= $1000),Add phone numbers to your donations export,rejected,You gave dollars and cents?
GB510,20260612,Samir Patel,samir@protonmail.ch,,WARNING,Phone: Phone number not found,Add phone numbers to your donations export,approved,
GB511,2026-06-12,Nora White,nora@ gmail.com,  300.00  ,WARNING,Phone: Phone number not found,Add phone numbers to your donations export,followup,
GB512,2026-06-13,Omar Khan,omar@GMAIL.COM,"2,500.00",WARNING,Phone: Phone number not found; Amount: High-dollar donation (>= $1000),Add phone numbers to your donations export,rejected,
