Donation ID,Date,Donor Name,Email,Amount
GB501,6/7/2026,Sam Lee,sam@gnail.com,"1,500"
GB502,2026-06-07,Taylor Kim,taylor@gmail.co,2500.999
GB503,2026-06-08,Riley Park,riley@gmail.con,-0.01
GB504,2026-06-08,Morgan Yu,morgan@outlok.com,1000000000
GB505,2026-06-09,Casey Wu,casey@gmail.com.,
GB506,2026-06-09,Jordan Li,jordan@gmail..com,75
GB507,2026-06-10,Avery Ng,avery@GMAIL.COM ,$ 2 000
GB508,2026-06-10,Pat Quinn,pat@ymail.com,1500
GB509,2026-06-11,Lee Chen,lee@googlemail.com,1250.5
GB510,20260612,Samir Patel,samir@protonmail.ch,NaN
GB511,2026-06-12,Nora White,nora@ gmail.com,  300.00  
GB512,2026-06-13,Omar Khan,omar@GMAIL.COM,"2,500.00"
