Validation_Tier,Issues,Suggested_Modifications,Transaction ID,Payout ID,Status,Date,Name,Email,Phone,Address 1,Address 2,City,State,Zip,Country,Amount,Processing Fee,Givebutter Fee,Fees Covered,Campaign Title,Payment Method,utm_source,utm_medium,In Honor Of,Dedication Message,Ticket Title,Ticket Quantity,Item Quantity
,,,po_2026_05a,Settled,2026-05-12 10:14:22,Morgan Davis,morgan.davis42@gmail.com,555-019-2834,123 Main St,,San Jose,CA,95112,US,50.00,1.75,0.00,Yes,General Operating Fund,Card,facebook,cpc,,,,,,
,,,po_2026_05a,Settled,2026-05-14 14:02:59,taylor smith,taylor.smith11@gmai.com,(555) 014-9281,456 Oak Avenue,,san jose,ca,95125,US,500.00,14.80,5.00,No,Spring Gala 2026,Card,newsletter,email,Jane Smith,In memory of my grandmother!,Gala Ticket,2,,
,,,po_2026_05a,Settled,2026-05-15 08:44:02,Sam Jones,sam.jones88@hotmail.com,5550174829,789 pine rd,,San Jose,CA,95110-1234,US,75.00,2.48,0.00,Yes,Community Outreach,Check,,,,,,,1,
,,,po_2026_05b,Settled,2026-05-15 19:22:11,Riley Wilson,riley.wilson23@gmail.com,,12 Valley Way,,Berkeley,CA,94704,US,2000.00,0.00,0.00,Yes,Major Gifts Campaign,ACH,linkedin,organic,,,,,,
,,,po_2026_05b,Settled,2026-05-16 11:12:40,SAM BROWN,sam.brown91@gmail.com,555.015.2931,888 Broad St,Apt 4B,Oakland,CA,94612,US,1001.00,29.33,10.01,No,General Operating Fund,Card,google,cpc,,,,,,
,,,po_2026_05b,Settled,2026-05-16 15:30:12,Taylor Clark,taylor.clark14@gmai.com,555-019-2834,101 Conifer Ln,,CA,,94706,US,50.00,1.75,0.00,Yes,Spring Gala 2026,Cash,,,,,,,,
,,,po_2026_05c,Pending,2026-05-17 08:02:45,sam充分,sam.miller55@yaho.com,,222 Maple Dr,,Albany,ca,94706,US,2000.00,0.00,0.00,No,Major Gifts Campaign,Check,twitter,organic,,,,,,
,,,po_2026_05c,Pending,2026-05-18 13:19:22,Morgan Taylor,morgan.taylor77@gmai.com,15550123948,743 El Camino,,Santa Clara,CA,95050,US,2000.00,58.30,0.00,Yes,Major Gifts Campaign,Card,,,,,,,,
,,,po_2026_05c,Pending,2026-05-19 17:55:01,Taylor Thomas,taylor.thomas33@yahoo.com,555-011-9238,901 Piedmont Ave,,Berkeley,CA,94705,US,2000.00,0.00,0.00,Yes,Major Gifts Campaign,ACH,instagram,story,Robert Thomas,Happy Birthday Dad!,,,,
,,,po_2026_05d,Failed,2026-05-20 10:41:14,Jordan Moore,jordan.moore12@yaho.com,(555) 013-4920,55 S 11th St,,San Jose,CA,95112,US,1500.00,43.80,15.00,No,Spring Gala 2026,Card,google,organic,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits); Duplicate: Email match: po_2026_05b; Name match (70%): po_2026_05c,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits); Duplicate: Name match (70%): po_2026_05b,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits),,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Phone: Phone too short (less than 10 digits); Amount: Amount must be greater than 0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits),,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits); Duplicate: Email match: po_2026_05a; Name match (70%): po_2026_05a,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Phone: Phone too short (less than 10 digits); Amount: Amount must be greater than 0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits); Duplicate: Name match (70%): po_2026_05a,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits); Amount: Amount must be greater than 0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIL,Email: Invalid email format (missing @); Phone: Phone too short (less than 10 digits),,,,,,,,,,,,,,,,,,,,,,,,,,,
