Donation ID,Date,Donor Name,Email,Amount,Validation_Tier,Issues,Suggested_Modifications
GB201,2026-05-20,Morgan 1,morgan1@gmail.com,50,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB208; Name match (70%): GB210; Name match (70%): GB214; Name match (70%): GB217; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB233; Name match (70%): GB234,Add phone numbers to your donations export
GB202,2026-05-20,Taylor 2,taylor2@gmai.com,500,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB206; Name match (70%): GB209; Name match (70%): GB213; Name match (70%): GB221; Name match (70%): GB224,Consider: taylor2@gmail.com; Add phone numbers to your donations export
GB203,2026-05-20,Sam 3,sam3@hotmail.com,75,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB205; Name match (70%): GB207,Add phone numbers to your donations export
GB204,2026-05-20,Riley 4,riley4@gmail.com,2000,WARNING,Phone: Phone number not found,Add phone numbers to your donations export
GB205,2026-05-20,Sam 5,sam5@gmail.com,1001,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB203; Name match (70%): GB207,Add phone numbers to your donations export
GB206,2026-05-20,Taylor 6,taylor6@gmai.com,50,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB202; Name match (70%): GB209; Name match (70%): GB213; Name match (70%): GB221; Name match (70%): GB224,Consider: taylor6@gmail.com; Add phone numbers to your donations export
GB207,2026-05-20,Sam 7,sam7@yaho.com,2000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB203; Name match (70%): GB205,Consider: sam7@yahoo.com; Add phone numbers to your donations export
GB208,2026-05-20,Morgan 8,morgan8@gmai.com,2000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB233; Name match (70%): GB234,Consider: morgan8@gmail.com; Add phone numbers to your donations export
GB209,2026-05-20,Taylor 9,taylor9@yahoo.com,2000,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB202; Name match (70%): GB206; Name match (70%): GB213; Name match (70%): GB221; Name match (70%): GB224,Add phone numbers to your donations export
GB210,2026-05-20,Jordan 10,jordan10@yaho.com,1500,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB214; Name match (70%): GB217; Name match (70%): GB220; Name match (70%): GB223; Name match (70%): GB225; Name match (70%): GB227,Consider: jordan10@yahoo.com; Add phone numbers to your donations export
GB211,2026-05-20,Avery 11,,25,FAIL,Email: Email field is empty; Phone: Phone number not found; Duplicate: Name match (70%): GB216; Name match (70%): GB226; Name match (70%): GB235,Add phone numbers to your donations export
GB212,2026-05-20,Casey 12,casey12@hotmail.com,75,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB215; Name match (70%): GB218; Name match (70%): GB219; Name match (70%): GB232,Add phone numbers to your donations export
